tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	unknown	Z59.2	Z59	Z59.2a	Z59.2a:LP-DIR-T	hargrave 2016-05-29 12:45:51	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	473	373	K		3	LOW	u	158.4	217.7	l	g	68.7	1.0	3	100
	This study	unknown	Z59.2	Z59	Z59.2a	Z59.2a:LP-DIR-T	hargrave 2016-05-29 12:45:51	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	855	803	K		3	MAG	u	24.8	79.8	l	g	-42.1	11.4	9	100
	This study	unknown	Z59.2	Z59	Z59.2a	Z59.2a:LP-DIR-T	hargrave 2016-05-29 12:45:51	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	788	623	K		3	MID	u	14.9	20.8	l	g	-55.6	1.9	8	100
	This study	unknown	Z59.3	Z59	Z59.3a	Z59.3a:LP-DIR-T	hargrave 2016-05-29 12:47:44	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	473	373	K		3	LOW	u	152.7	187.1	l	g	-18.0	1.7	3	-1
	This study	unknown	Z59.3	Z59	Z59.3a	Z59.3a:LP-DIR-T	hargrave 2016-05-29 12:47:44	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	855	818	K		3	MAG	u	16.9	333.0	l	g	19.5	15.9	10	-1
	This study	unknown	Z59.3	Z59	Z59.3a	Z59.3a:LP-DIR-T	hargrave 2016-05-29 12:47:44	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	788	623	K		3	MID	u	10.0	359.2	l	g	1.2	4.7	7	-1
	This study	unknown	Z59.3	Z59	Z59.3a	Z59.3a:LP-DIR-T	hargrave 2016-05-29 12:47:44	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	473	373	K		3	LOW	u	152.7	347.9	l	g	62.1	1.7	3	0
	This study	unknown	Z59.3	Z59	Z59.3a	Z59.3a:LP-DIR-T	hargrave 2016-05-29 12:47:44	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	855	818	K		3	MAG	u	16.9	110.5	l	g	-51.0	15.9	10	0
	This study	unknown	Z59.3	Z59	Z59.3a	Z59.3a:LP-DIR-T	hargrave 2016-05-29 12:47:44	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	788	623	K		3	MID	u	10.0	148.6	l	g	-79.8	4.7	7	0
	This study	unknown	Z59.3	Z59	Z59.3a	Z59.3a:LP-DIR-T	hargrave 2016-05-29 12:47:44	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	473	373	K		3	LOW	u	152.7	229.6	l	g	69.0	1.7	3	100
	This study	unknown	Z59.3	Z59	Z59.3a	Z59.3a:LP-DIR-T	hargrave 2016-05-29 12:47:44	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	855	818	K		3	MAG	u	16.9	66.9	l	g	-38.2	15.9	10	100
	This study	unknown	Z59.3	Z59	Z59.3a	Z59.3a:LP-DIR-T	hargrave 2016-05-29 12:47:44	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	788	623	K		3	MID	u	10.0	26.6	l	g	-53.9	4.7	7	100
	This study	unknown	Z59.4	Z59	Z59.4a	Z59.4a:LP-DIR-T	hargrave 2016-05-29 12:53:08	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	473	373	K		3	LOW	u	139.3	187.0	l	g	-13.6	1.2	3	-1
	This study	unknown	Z59.4	Z59	Z59.4a	Z59.4a:LP-DIR-T	hargrave 2016-05-29 12:53:08	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	852	803	K		3	MAG	u	7.5	347.7	l	g	2.0	14.0	10	-1
	This study	unknown	Z59.4	Z59	Z59.4a	Z59.4a:LP-DIR-T	hargrave 2016-05-29 12:53:08	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	788	623	K		3	MID	u	8.7	359.3	l	g	-2.8	2.9	7	-1
	This study	unknown	Z59.4	Z59	Z59.4a	Z59.4a:LP-DIR-T	hargrave 2016-05-29 12:53:08	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	473	373	K		3	LOW	u	139.3	347.8	l	g	64.4	1.2	3	0
	This study	unknown	Z59.4	Z59	Z59.4a	Z59.4a:LP-DIR-T	hargrave 2016-05-29 12:53:08	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	852	803	K		3	MAG	u	7.5	107.9	l	g	-72.1	14.0	10	0
	This study	unknown	Z59.4	Z59	Z59.4a	Z59.4a:LP-DIR-T	hargrave 2016-05-29 12:53:08	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	788	623	K		3	MID	u	8.7	147.0	l	g	-81.8	2.9	7	0
	This study	unknown	Z59.4	Z59	Z59.4a	Z59.4a:LP-DIR-T	hargrave 2016-05-29 12:53:08	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	473	373	K		3	LOW	u	139.3	224.5	l	g	67.7	1.2	3	100
	This study	unknown	Z59.4	Z59	Z59.4a	Z59.4a:LP-DIR-T	hargrave 2016-05-29 12:53:08	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	852	803	K		3	MAG	u	7.5	40.1	l	g	-45.5	14.0	10	100
	This study	unknown	Z59.4	Z59	Z59.4a	Z59.4a:LP-DIR-T	hargrave 2016-05-29 12:53:08	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	788	623	K		3	MID	u	8.7	24.1	l	g	-52.5	2.9	7	100
	This study	unknown	Z59.5	Z59	Z59.5a	Z59.5a:LP-DIR-T	hargrave 2016-05-29 12:54:45	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	473	373	K		3	LOW	u	139.0	182.2	l	g	3.3	2.1	3	-1
	This study	unknown	Z59.5	Z59	Z59.5a	Z59.5a:LP-DIR-T	hargrave 2016-05-29 12:54:45	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	852	818	K		3	MAG	u	23.7	326.2	l	g	-21.4	12.3	9	-1
	This study	unknown	Z59.5	Z59	Z59.5a	Z59.5a:LP-DIR-T	hargrave 2016-05-29 12:54:45	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	788	623	K		3	MID	u	18.4	4.8	l	g	-16.1	2.5	7	-1
	This study	unknown	Z59.5	Z59	Z59.5a	Z59.5a:LP-DIR-T	hargrave 2016-05-29 12:54:45	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	473	373	K		3	LOW	u	139.0	358.7	l	g	65.3	2.1	3	0
	This study	unknown	Z59.5	Z59	Z59.5a	Z59.5a:LP-DIR-T	hargrave 2016-05-29 12:54:45	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	852	818	K		3	MAG	u	23.7	87.9	l	g	-58.7	12.3	9	0
	This study	unknown	Z59.5	Z59	Z59.5a	Z59.5a:LP-DIR-T	hargrave 2016-05-29 12:54:45	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	788	623	K		3	MID	u	18.4	195.1	l	g	-77.3	2.5	7	0
	This study	unknown	Z59.5	Z59	Z59.5a	Z59.5a:LP-DIR-T	hargrave 2016-05-29 12:54:45	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	473	373	K		3	LOW	u	139.0	213.5	l	g	70.2	2.1	3	100
	This study	unknown	Z59.5	Z59	Z59.5a	Z59.5a:LP-DIR-T	hargrave 2016-05-29 12:54:45	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	852	818	K		3	MAG	u	23.7	50.1	l	g	-31.9	12.3	9	100
	This study	unknown	Z59.5	Z59	Z59.5a	Z59.5a:LP-DIR-T	hargrave 2016-05-29 12:54:45	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	788	623	K		3	MID	u	18.4	13.8	l	g	-60.0	2.5	7	100
	This study	unknown	Z59.6	Z59	Z59.6a	Z59.6a:LP-DIR-T	hargrave 2016-05-29 12:56:15	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	473	373	K		3	LOW	u	141.8	171.8	l	g	12.5	0.7	3	-1
	This study	unknown	Z59.6	Z59	Z59.6a	Z59.6a:LP-DIR-T	hargrave 2016-05-29 12:56:15	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	855	818	K		3	MAG	u	20.8	331.8	l	g	-33.5	10.1	10	-1
	This study	unknown	Z59.6	Z59	Z59.6a	Z59.6a:LP-DIR-T	hargrave 2016-05-29 12:56:15	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	788	623	K		3	MID	u	10.8	358.4	l	g	-27.0	2.0	7	-1
	This study	unknown	Z59.6	Z59	Z59.6a	Z59.6a:LP-DIR-T	hargrave 2016-05-29 12:56:15	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	473	373	K		3	LOW	u	141.8	354.4	l	g	69.0	0.7	3	0
	This study	unknown	Z59.6	Z59	Z59.6a	Z59.6a:LP-DIR-T	hargrave 2016-05-29 12:56:15	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	855	818	K		3	MAG	u	20.8	96.1	l	g	-66.3	10.1	10	0
	This study	unknown	Z59.6	Z59	Z59.6a	Z59.6a:LP-DIR-T	hargrave 2016-05-29 12:56:15	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	788	623	K		3	MID	u	10.8	181.2	l	g	-84.8	2.0	7	0
	This study	unknown	Z59.6	Z59	Z59.6a	Z59.6a:LP-DIR-T	hargrave 2016-05-29 12:56:15	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	473	373	K		3	LOW	u	141.8	211.6	l	g	66.1	0.7	3	100
	This study	unknown	Z59.6	Z59	Z59.6a	Z59.6a:LP-DIR-T	hargrave 2016-05-29 12:56:15	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	855	818	K		3	MAG	u	20.8	45.2	l	g	-39.4	10.1	10	100
	This study	unknown	Z59.6	Z59	Z59.6a	Z59.6a:LP-DIR-T	hargrave 2016-05-29 12:56:15	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	788	623	K		3	MID	u	10.8	16.1	l	g	-52.4	2.0	7	100
	This study	unknown	Z59.7	Z59	Z59.7a	Z59.7a:LP-DIR-T	hargrave 2016-05-29 12:57:42	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	473	373	K		3	LOW	u	152.1	183.6	l	g	-11.6	1.9	3	-1
	This study	unknown	Z59.7	Z59	Z59.7a	Z59.7a:LP-DIR-T	hargrave 2016-05-29 12:57:42	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	852	818	K		3	MAG	u	7.6	327.4	l	g	15.2	6.7	9	-1
	This study	unknown	Z59.7	Z59	Z59.7a	Z59.7a:LP-DIR-T	hargrave 2016-05-29 12:57:42	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	788	623	K		3	MID	u	13.8	358.5	l	g	-0.1	2.7	7	-1
	This study	unknown	Z59.7	Z59	Z59.7a	Z59.7a:LP-DIR-T	hargrave 2016-05-29 12:57:42	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	473	373	K		3	LOW	u	152.1	347.0	l	g	62.2	1.9	3	0
	This study	unknown	Z59.7	Z59	Z59.7a	Z59.7a:LP-DIR-T	hargrave 2016-05-29 12:57:42	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	852	818	K		3	MAG	u	7.6	111.9	l	g	-45.1	6.7	9	0
	This study	unknown	Z59.7	Z59	Z59.7a	Z59.7a:LP-DIR-T	hargrave 2016-05-29 12:57:42	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	788	623	K		3	MID	u	13.8	154.0	l	g	-74.1	2.7	7	0
	This study	unknown	Z59.7	Z59	Z59.7a	Z59.7a:LP-DIR-T	hargrave 2016-05-29 12:57:42	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	473	373	K		3	LOW	u	152.1	230.1	l	g	68.7	1.9	3	100
	This study	unknown	Z59.7	Z59	Z59.7a	Z59.7a:LP-DIR-T	hargrave 2016-05-29 12:57:42	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	852	818	K		3	MAG	u	7.6	73.8	l	g	-35.8	6.7	9	100
	This study	unknown	Z59.7	Z59	Z59.7a	Z59.7a:LP-DIR-T	hargrave 2016-05-29 12:57:42	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	788	623	K		3	MID	u	13.8	33.8	l	g	-58.1	2.7	7	100
	This study	unknown	Z59.8	Z59	Z59.8a	Z59.8a:LP-DIR-T	hargrave 2016-05-29 12:59:08	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	473	373	K		3	LOW	u	151.5	182.5	l	g	-5.0	0.9	3	-1
	This study	unknown	Z59.8	Z59	Z59.8a	Z59.8a:LP-DIR-T	hargrave 2016-05-29 12:59:08	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	852	818	K		3	MAG	u	8.1	337.0	l	g	1.7	12.2	9	-1
	This study	unknown	Z59.8	Z59	Z59.8a	Z59.8a:LP-DIR-T	hargrave 2016-05-29 12:59:08	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	788	623	K		3	MID	u	11.0	3.2	l	g	-7.4	3.2	7	-1
	This study	unknown	Z59.8	Z59	Z59.8a	Z59.8a:LP-DIR-T	hargrave 2016-05-29 12:59:08	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	473	373	K		3	LOW	u	151.5	338.1	l	g	64.8	0.9	3	0
	This study	unknown	Z59.8	Z59	Z59.8a	Z59.8a:LP-DIR-T	hargrave 2016-05-29 12:59:08	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	852	818	K		3	MAG	u	8.1	103.5	l	g	-58.7	12.2	9	0
	This study	unknown	Z59.8	Z59	Z59.8a	Z59.8a:LP-DIR-T	hargrave 2016-05-29 12:59:08	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	788	623	K		3	MID	u	11.0	166.7	l	g	-77.0	3.2	7	0
	This study	unknown	Z59.8	Z59	Z59.8a	Z59.8a:LP-DIR-T	hargrave 2016-05-29 12:59:08	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	473	373	K		3	LOW	u	151.5	229.0	l	g	63.9	0.9	3	100
	This study	unknown	Z59.8	Z59	Z59.8a	Z59.8a:LP-DIR-T	hargrave 2016-05-29 12:59:08	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	852	818	K		3	MAG	u	8.1	55.9	l	g	-38.6	12.2	9	100
	This study	unknown	Z59.8	Z59	Z59.8a	Z59.8a:LP-DIR-T	hargrave 2016-05-29 12:59:08	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	788	623	K		3	MID	u	11.0	25.6	l	g	-58.4	3.2	7	100
	This study	unknown	Z59.9	Z59	Z59.9a	Z59.9a:LP-DIR-T	hargrave 2016-05-29 13:00:36	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	473	373	K		3	LOW	u	158.1	198.7	l	g	14.8	0.9	3	-1
	This study	unknown	Z59.9	Z59	Z59.9a	Z59.9a:LP-DIR-T	hargrave 2016-05-29 13:00:36	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	852	828	K		3	MAG	u	10.4	2.9	l	g	-7.1	11.6	7	-1
	This study	unknown	Z59.9	Z59	Z59.9a	Z59.9a:LP-DIR-T	hargrave 2016-05-29 13:00:36	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	788	623	K		3	MID	u	6.5	7.9	l	g	-25.7	2.8	7	-1
	This study	unknown	Z59.9	Z59	Z59.9a	Z59.9a:LP-DIR-T	hargrave 2016-05-29 13:00:36	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	473	373	K		3	LOW	u	158.1	336.6	l	g	64.4	0.9	3	0
	This study	unknown	Z59.9	Z59	Z59.9a	Z59.9a:LP-DIR-T	hargrave 2016-05-29 13:00:36	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	852	828	K		3	MAG	u	10.4	117.1	l	g	-62.9	11.6	7	0
	This study	unknown	Z59.9	Z59	Z59.9a	Z59.9a:LP-DIR-T	hargrave 2016-05-29 13:00:36	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	788	623	K		3	MID	u	6.5	152.4	l	g	-79.2	2.8	7	0
	This study	unknown	Z59.9	Z59	Z59.9a	Z59.9a:LP-DIR-T	hargrave 2016-05-29 13:00:36	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	473	373	K		3	LOW	u	158.1	230.3	l	g	63.5	0.9	3	100
	This study	unknown	Z59.9	Z59	Z59.9a	Z59.9a:LP-DIR-T	hargrave 2016-05-29 13:00:36	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	852	828	K		3	MAG	u	10.4	54.2	l	g	-46.3	11.6	7	100
	This study	unknown	Z59.9	Z59	Z59.9a	Z59.9a:LP-DIR-T	hargrave 2016-05-29 13:00:36	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	788	623	K		3	MID	u	6.5	26.7	l	g	-54.7	2.8	7	100
	This study	unknown	Z64.1	Z64	Z64.1a	Z64.1a:LP-DIR-T	hargrave 2016-06-14 11:52:46	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	473	373	K		4	LOW	u	57.8	115.1	l	g	49.8	9.4	3	-1
	This study	unknown	Z64.1	Z64	Z64.1a	Z64.1a:LP-DIR-T	hargrave 2016-06-14 11:52:46	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	788	573	K		4	MID	u	132.8	4.8	l	g	-30.4	6.2	8	-1
	This study	unknown	Z64.1	Z64	Z64.1a	Z64.1a:LP-DIR-T	hargrave 2016-06-14 11:52:46	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	855	803	K		4	MAG	u	16.8	257.5	l	g	53.3	40.6	11	-1
	This study	unknown	Z64.1	Z64	Z64.1a	Z64.1a:LP-DIR-T	hargrave 2016-06-14 11:52:46	LP-DIR-T:DE-BFL-A:DA-DIR	pmagpy-3.4.1	903	855	K		4	HEM	u	0.0	229.7	l	g	61.1	1.3	5	-1
	This study	unknown	Z64.1	Z64	Z64.1a	Z64.1a:LP-DIR-T	hargrave 2016-06-14 11:52:46	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	473	373	K		4	LOW	u	57.8	18.5	l	g	40.2	9.4	3	0
	This study	unknown	Z64.1	Z64	Z64.1a	Z64.1a:LP-DIR-T	hargrave 2016-06-14 11:52:46	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	788	573	K		4	MID	u	132.8	27.7	l	g	-85.1	6.2	8	0
	This study	unknown	Z64.1	Z64	Z64.1a	Z64.1a:LP-DIR-T	hargrave 2016-06-14 11:52:46	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.1	855	803	K		4	MAG	u	16.8	284.5	l	g	33.0	40.6	11	0
	This study	unknown	Z64.1	Z64	Z64.1a	Z64.1a:LP-DIR-T	hargrave 2016-06-14 11:52:46	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	pmagpy-3.4.1	903	855	K		4	HEM	u	0.0	295.3	l	g	47.6	1.3	5	0
	This study	unknown	Z64.1	Z64	Z64.1a	Z64.1a:LP-DIR-T	hargrave 2016-06-14 11:52:46	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	473	373	K		4	LOW	u	57.8	12.4	l	g	76.3	9.4	3	100
	This study	unknown	Z64.1	Z64	Z64.1a	Z64.1a:LP-DIR-T	hargrave 2016-06-14 11:52:46	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	788	573	K		4	MID	u	132.8	22.0	l	g	-49.0	6.2	8	100
	This study	unknown	Z64.1	Z64	Z64.1a	Z64.1a:LP-DIR-T	hargrave 2016-06-14 11:52:46	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.1	855	803	K		4	MAG	u	16.8	265.5	l	g	22.4	40.6	11	100
	This study	unknown	Z64.1	Z64	Z64.1a	Z64.1a:LP-DIR-T	hargrave 2016-06-14 11:52:46	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	pmagpy-3.4.1	903	855	K		4	HEM	u	0.0	260.6	l	g	38.6	1.3	5	100
	This study	unknown	Z64.2	Z64	Z64.2a	Z64.2a:LP-DIR-T	hargrave 2016-06-14 11:54:17	LP-DIR-T:DE-BFL-O:DA-DIR	pmagpy-3.4.1	953	855	K		1	HEM	u	5.2	227.3	l	g	6.7	16.1	11	-1
	This study	unknown	Z64.2	Z64	Z64.2a	Z64.2a:LP-DIR-T	hargrave 2016-06-14 11:54:17	LP-DIR-T:DE-BFL-O:DA-DIR-GEO	pmagpy-3.4.1	953	855	K		1	HEM	u	5.2	296.3	l	g	40.5	16.1	11	0
	This study	unknown	Z64.2	Z64	Z64.2a	Z64.2a:LP-DIR-T	hargrave 2016-06-14 11:54:17	LP-DIR-T:DE-BFL-O:DA-DIR-TILT	pmagpy-3.4.1	953	855	K		1	HEM	u	5.2	267.7	l	g	34.3	16.1	11	100
	This study	unknown	Z64.5	Z64	Z64.5a	Z64.5a:LP-DIR-T	hargrave 2016-06-14 11:55:52	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	473	373	K		4	LOW	u	82.4	116.1	l	g	4.2	1.5	3	-1
	This study	unknown	Z64.5	Z64	Z64.5a	Z64.5a:LP-DIR-T	hargrave 2016-06-14 11:55:52	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	748	573	K		4	MID	u	139.6	358.0	l	g	-53.3	1.9	6	-1
	This study	unknown	Z64.5	Z64	Z64.5a	Z64.5a:LP-DIR-T	hargrave 2016-06-14 11:55:52	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	855	828	K		4	MAG	u	5.0	140.9	l	g	80.9	16.5	8	-1
	This study	unknown	Z64.5	Z64	Z64.5a	Z64.5a:LP-DIR-T	hargrave 2016-06-14 11:55:52	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.1	953	863	K		4	HEM	u	5.0	160.7	l	g	85.5	4.7	8	-1
