tab 	er_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_volume	specimen_weight
This study	unknown	Z85.2	Z85	Z85.2a	1.240e-05	
This study	unknown	Z85.3	Z85	Z85.3a	6.700e-06	
This study	unknown	Z85.4	Z85	Z85.4a	9.800e-06	
This study	unknown	Z85.5	Z85	Z85.5a	9.000e-06	
This study	unknown	Z85.6	Z85	Z85.6a	7.800e-06	
This study	unknown	Z85.7	Z85	Z85.7a	1.030e-05	
This study	unknown	Z85.8	Z85	Z85.8a	8.500e-06	
This study	unknown	Z87.1	Z87	Z87.1a	1.370e-05	
This study	unknown	Z87.2	Z87	Z87.2a	1.780e-05	
This study	unknown	Z87.3	Z87	Z87.3a	1.910e-05	
This study	unknown	Z87.4	Z87	Z87.4a	1.500e-05	
This study	unknown	Z87.5	Z87	Z87.5a	1.410e-05	
This study	unknown	Z87.6	Z87	Z87.6a	1.520e-05	
This study	unknown	Z87.7	Z87	Z87.7a	1.460e-05	
This study	unknown	Z87.8	Z87	Z87.8a	1.110e-05	
This study	unknown	Z88.1	Z88	Z88.1a	1.710e-05	
This study	unknown	Z88.2	Z88	Z88.2a	1.230e-05	
This study	unknown	Z88.3	Z88	Z88.3a	1.160e-05	
This study	unknown	Z88.4	Z88	Z88.4a	1.320e-05	
This study	unknown	Z88.5	Z88	Z88.5a	1.110e-05	
This study	unknown	Z88.6	Z88	Z88.6a	1.590e-05	
This study	unknown	Z88.7	Z88	Z88.7a	1.330e-05	
This study	unknown	Z88.8	Z88	Z88.8a	1.270e-05	
This study	unknown	Z89.1	Z89	Z89.1a	1.180e-05	
This study	unknown	Z89.2	Z89	Z89.2a	1.340e-05	
This study	unknown	Z89.3	Z89	Z89.3a	1.480e-05	
This study	unknown	Z89.4	Z89	Z89.4a	1.630e-05	
This study	unknown	Z89.5	Z89	Z89.5a	2.030e-05	
This study	unknown	Z89.6	Z89	Z89.6a	1.450e-05	
This study	unknown	Z89.7	Z89	Z89.7a	9.100e-06	
This study	unknown	Z89.8	Z89	Z89.8a	1.360e-05	
This study	unknown	Z90.1	Z90	Z90.1a	1.260e-05	
This study	unknown	Z90.2	Z90	Z90.2a	1.530e-05	
This study	unknown	Z90.3	Z90	Z90.3a	1.680e-05	
This study	unknown	Z90.4	Z90	Z90.4a	1.660e-05	
This study	unknown	Z90.5	Z90	Z90.5a	1.400e-05	
This study	unknown	Z90.6	Z90	Z90.6a	1.310e-05	
This study	unknown	Z90.7	Z90	Z90.7a	1.690e-05	
This study	unknown	Z90.8	Z90	Z90.8a	8.800e-06	
This study	unknown	Z91.1	Z91	Z91.1a	1.760e-05	
This study	unknown	Z91.2	Z91	Z91.2a	1.370e-05	
This study	unknown	Z91.3	Z91	Z91.3a	1.180e-05	
This study	unknown	Z91.4	Z91	Z91.4a	7.100e-06	
This study	unknown	Z91.5	Z91	Z91.5a	1.650e-05	
This study	unknown	Z91.6	Z91	Z91.6a	1.450e-05	
This study	unknown	Z91.7	Z91	Z91.7a	1.390e-05	
This study	unknown	Z91.8	Z91	Z91.8a	1.440e-05	
This study	unknown	Z92.1	Z92	Z92.1a	1.470e-05	
This study	unknown	Z92.2	Z92	Z92.2a	1.410e-05	
This study	unknown	Z92.3	Z92	Z92.3a	1.980e-05	
This study	unknown	Z92.4	Z92	Z92.4a	1.460e-05	
This study	unknown	Z92.5	Z92	Z92.5a	1.480e-05	
This study	unknown	Z92.6	Z92	Z92.6a	1.380e-05	
This study	unknown	Z92.7	Z92	Z92.7a	1.330e-05	
This study	unknown	Z92.8	Z92	Z92.8a	1.700e-05	
This study	unknown	Z93.1	Z93	Z93.1a	1.930e-05	
This study	unknown	Z93.2	Z93	Z93.2a	1.360e-05	
This study	unknown	Z93.3	Z93	Z93.3a	1.490e-05	
This study	unknown	Z93.4	Z93	Z93.4a	1.890e-05	
This study	unknown	Z93.5	Z93	Z93.5a	1.860e-05	
This study	unknown	Z93.6	Z93	Z93.6a	9.800e-06	
This study	unknown	Z93.7	Z93	Z93.7a	1.470e-05	
This study	unknown	Z93.8	Z93	Z93.8a	2.040e-05	
This study	unknown	Z94.1	Z94	Z94.1a	1.210e-05	
This study	unknown	Z94.2	Z94	Z94.2a	1.290e-05	
This study	unknown	Z94.3	Z94	Z94.3a	1.160e-05	
This study	unknown	Z94.4	Z94	Z94.4a	1.220e-05	
This study	unknown	Z94.5	Z94	Z94.5a	1.190e-05	
This study	unknown	Z94.6	Z94	Z94.6a	1.420e-05	
This study	unknown	Z94.7	Z94	Z94.7a	1.390e-05	
This study	unknown	Z94.8	Z94	Z94.8a	1.020e-05	
This study	unknown	Z95.1	Z95	Z95.1a	1.520e-05	
This study	unknown	Z95.2	Z95	Z95.2a	1.210e-05	
This study	unknown	Z95.3	Z95	Z95.3a	1.110e-05	
This study	unknown	Z95.4	Z95	Z95.4a	1.370e-05	
This study	unknown	Z95.5	Z95	Z95.5a	7.100e-06	
This study	unknown	Z95.6	Z95	Z95.6a	1.430e-05	
This study	unknown	Z95.7	Z95	Z95.7a	9.100e-06	
This study	unknown	Z95.8	Z95	Z95.8a	1.510e-05	
